Space:	basespace
Pairing:	Fragmented
Quality scale:	Illumina
Number of reads:	33887

Length distribution
Mean:	214.616873727
StdDev:	56.5252036752
Min:	53
25 percentile:	164
Median:	238
75 percentile:	259
Max:	763
Total:	33887

Quality distribution
pos	mean	stdev	min	25pct	50pct	75pct	max	count
69	33.7260439723	5.33135280158	6	33	36	37	40	33885
70	33.7382245308	5.31861244974	6	33	36	37	40	33884
71	33.7214614567	5.33467244889	6	33	36	37	40	33884
72	33.7221107307	5.34764179901	6	34	36	37	40	33884
73	33.7216975564	5.35402950753	6	33	36	37	40	33884
74	33.7476685161	5.34466949503	6	34	36	37	40	33884
75	33.7618274651	5.30355323043	6	34	36	37	40	33883
76	33.7864710917	5.29744539939	6	34	36	37	40	33883
77	33.7968892955	5.29020898297	6	34	36	37	40	33883
78	33.7837263524	5.34116493066	6	34	36	37	40	33883
79	33.8248332448	5.29228174573	6	34	36	37	40	33882
80	33.85094451	5.29967742095	6	34	36	37	40	33880
81	33.8607987249	5.29572240596	6	34	36	37	40	33879
82	33.8373033443	5.35252678174	6	34	36	37	40	33879
83	33.8825526137	5.29242764065	6	34	36	37	40	33879
84	33.9168511467	5.28229252991	6	34	36	37	40	33879
85	33.9431177495	5.26804090027	6	34	36	37	40	33877
86	33.9654042566	5.23322360394	6	34	36	37	40	33877
87	33.9650194828	5.20944798256	6	34	36	37	40	33876
88	33.9539765012	5.25086221695	6	34	36	37	40	33874
89	33.948247867	5.22977095171	6	34	36	37	40	33873
90	33.9424859758	5.24366266931	6	34	36	37	40	33870
91	33.9579531698	5.25922295875	6	34	36	37	40	33867
92	33.9558476078	5.25505019027	6	34	36	37	40	33860
93	33.9214568441	5.30743367425	6	34	36	37	40	33854
94	33.8688907275	5.37988418204	6	34	36	37	40	33842
95	33.8789679021	5.36876841823	6	34	36	37	40	33834
96	33.9047337453	5.33286744871	6	34	36	37	40	33821
97	33.9328620863	5.30806531956	6	34	36	37	40	33811
98	33.9319425951	5.31006816645	6	34	36	37	40	33795
99	33.9370151022	5.35699689288	6	34	36	37	40	33770
100	33.9397811842	5.39831550965	6	34	36	37	40	33727
101	33.9554915526	5.39578580735	6	34	36	37	40	33679
102	33.9526373724	5.43118373053	6	34	36	37	40	33613
103	33.9397744899	5.43485171115	6	34	36	37	40	33524
104	33.9149769723	5.45572263934	6	34	36	37	40	33438
105	33.8571043165	5.56324754091	6	34	36	37	40	33360
106	33.8496138938	5.60161892147	6	34	36	37	40	33281
107	33.7972166998	5.70808085346	6	34	36	37	40	33198
108	33.7512691889	5.84366062904	6	34	36	37	40	33092
109	33.7865522782	5.77145654254	6	34	36	37	40	32987
110	33.7999452821	5.76268386299	6	34	36	37	40	32896
111	33.8292430109	5.73028058231	6	34	36	37	40	32801
112	33.8116766009	5.73102217195	6	34	36	37	40	32715
113	33.7886183847	5.7893942938	6	34	36	37	40	32614
114	33.6995258913	5.89822493451	6	34	36	37	40	32482
115	33.6846805092	5.92871152843	6	34	36	37	40	32364
116	33.6840813791	6.00638958949	6	34	36	37	40	32195
117	33.7164248947	5.97921333851	6	34	36	37	40	32055
118	33.7790653971	5.89311231365	6	34	36	37	40	31928
119	33.7966176424	5.92881195389	6	34	36	37	40	31753
120	33.8146471203	5.953689899	6	35	36	37	40	31583
121	33.7929694963	6.02172971088	6	35	36	37	40	31406
122	33.8089801155	6.01264019574	6	35	36	37	40	31180
123	33.7726890212	6.14654241458	6	35	36	37	40	30896
124	33.8288550067	6.04001733344	6	35	36	37	40	30629
125	33.8688799133	5.94872083485	6	35	36	37	40	30453
126	33.8920051473	5.889643552	6	35	36	37	40	30307
127	33.8947873891	5.87975986528	6	35	36	37	40	30196
128	33.8742315999	5.87839758251	6	35	36	37	40	30095
129	33.8934871778	5.8838492888	6	35	36	37	40	29987
130	33.9085463793	5.8410869364	6	35	36	37	40	29884
131	33.9508251823	5.79526047222	6	35	36	37	40	29751
132	33.9762836516	5.75182082291	6	35	36	37	40	29642
133	33.9662441537	5.76489142977	6	35	36	37	40	29506
134	33.9480997139	5.77078932785	6	35	36	37	40	29364
135	33.8599412006	5.9064047331	6	35	36	37	40	29252
136	33.832715159	5.92361352748	6	35	36	37	40	29118
137	33.8209279845	5.93268573261	6	35	36	37	40	28966
138	33.866444768	5.86291966734	6	35	36	37	40	28842
139	33.8917967661	5.86988804031	6	35	36	37	40	28696
140	33.9265750166	5.85105982144	6	35	36	37	40	28587
141	33.9390106802	5.83138607065	6	35	36	37	40	28464
142	33.9537592658	5.81828998164	6	35	36	37	40	28330
143	33.9356569317	5.83727485626	6	35	36	37	40	28146
144	33.9028403806	5.92019970225	6	35	36	37	40	27954
145	33.90791227	5.89434799751	6	35	36	37	40	27767
146	33.9420478829	5.8006187176	6	35	36	37	40	27609
